epoch=0 train_acc=0.0884 test_acc=0.0833 elapsed=4.0s
epoch=1 train_acc=0.1199 test_acc=0.1528 elapsed=3.4s
epoch=2 train_acc=0.1879 test_acc=0.1562 elapsed=3.4s
epoch=3 train_acc=0.2117 test_acc=0.1667 elapsed=3.4s
epoch=4 train_acc=0.2304 test_acc=0.0868 elapsed=3.4s
epoch=5 train_acc=0.2364 test_acc=0.2778 elapsed=3.4s
epoch=6 train_acc=0.2551 test_acc=0.2674 elapsed=3.4s
epoch=7 train_acc=0.2406 test_acc=0.1493 elapsed=3.3s
epoch=8 train_acc=0.2355 test_acc=0.2535 elapsed=3.3s
epoch=9 train_acc=0.2415 test_acc=0.1840 elapsed=3.3s
epoch=10 train_acc=0.2568 test_acc=0.2882 elapsed=3.3s
epoch=11 train_acc=0.2245 test_acc=0.2951 elapsed=3.3s
epoch=12 train_acc=0.2517 test_acc=0.3958 elapsed=3.4s
epoch=13 train_acc=0.2500 test_acc=0.2951 elapsed=3.4s
epoch=14 train_acc=0.2602 test_acc=0.3194 elapsed=3.3s
epoch=15 train_acc=0.2577 test_acc=0.1597 elapsed=3.3s
epoch=16 train_acc=0.2747 test_acc=0.3438 elapsed=3.3s
epoch=17 train_acc=0.2976 test_acc=0.2778 elapsed=3.3s
epoch=18 train_acc=0.3223 test_acc=0.3333 elapsed=3.3s
epoch=19 train_acc=0.3189 test_acc=0.2222 elapsed=3.3s
epoch=20 train_acc=0.3061 test_acc=0.3229 elapsed=3.3s
epoch=21 train_acc=0.2942 test_acc=0.3160 elapsed=3.3s
epoch=22 train_acc=0.3384 test_acc=0.2604 elapsed=3.3s
epoch=23 train_acc=0.3580 test_acc=0.2500 elapsed=3.3s
epoch=24 train_acc=0.3759 test_acc=0.3160 elapsed=3.3s
epoch=25 train_acc=0.3759 test_acc=0.3194 elapsed=3.4s
epoch=26 train_acc=0.3690 test_acc=0.3507 elapsed=3.4s
epoch=27 train_acc=0.3912 test_acc=0.3368 elapsed=3.4s
epoch=28 train_acc=0.3461 test_acc=0.3646 elapsed=3.4s
epoch=29 train_acc=0.3980 test_acc=0.3368 elapsed=3.3s
epoch=30 train_acc=0.3741 test_acc=0.3576 elapsed=3.3s
epoch=31 train_acc=0.3963 test_acc=0.3507 elapsed=3.4s
epoch=32 train_acc=0.3920 test_acc=0.3542 elapsed=3.4s
epoch=33 train_acc=0.4065 test_acc=0.3993 elapsed=3.4s
epoch=34 train_acc=0.3937 test_acc=0.3854 elapsed=3.3s
epoch=35 train_acc=0.4167 test_acc=0.3958 elapsed=3.3s
epoch=36 train_acc=0.3920 test_acc=0.3056 elapsed=3.3s
epoch=37 train_acc=0.3946 test_acc=0.3125 elapsed=3.3s
epoch=38 train_acc=0.3818 test_acc=0.3924 elapsed=3.3s
epoch=39 train_acc=0.3886 test_acc=0.2535 elapsed=3.3s
epoch=40 train_acc=0.4073 test_acc=0.3160 elapsed=3.3s
epoch=41 train_acc=0.3878 test_acc=0.2535 elapsed=3.3s
epoch=42 train_acc=0.3827 test_acc=0.3819 elapsed=3.3s
epoch=43 train_acc=0.3844 test_acc=0.3194 elapsed=3.3s
epoch=44 train_acc=0.3810 test_acc=0.3160 elapsed=3.3s
epoch=45 train_acc=0.3963 test_acc=0.3229 elapsed=3.3s
epoch=46 train_acc=0.3503 test_acc=0.2083 elapsed=3.3s
epoch=47 train_acc=0.3750 test_acc=0.3750 elapsed=3.3s
epoch=48 train_acc=0.3733 test_acc=0.2847 elapsed=3.3s
epoch=49 train_acc=0.3954 test_acc=0.4028 elapsed=3.3s
