Sample_ID,dataset,coding,backend,steps,hidden,delta,sample 14628,sample 48598,sample 16049,sample 7296,sample 35741,sample 41905,sample 48540,sample 6717,sample 58469,sample 48265,sample 44348,sample 18024,sample 1639,sample 9144,rob. 14628,rob. 48598,rob. 16049,rob. 7296,rob. 35741,rob. 41905,rob. 48540,rob. 6717,rob. 58469,rob. 48265,rob. 44348,rob. 18024,rob. 1639,rob. 9144
08140943,fmnist,latency,np,256,512,"delta(1,)",0.09497904777526855,0.15513110160827637,1.9144601821899414,17.807116508483887,18.171464204788208,19.54214596748352,24.884552001953125,25.086137294769287,25.326961755752563,25.649996519088745,26.018290758132935,27.08650016784668,27.432905435562134,27.89071035385132,Not robust,Not robust,Not robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08141748,mnist,latency,np,64,512,"delta(2,)",734.0310978889465,0.9548897743225098,608.5551431179047,562.203850030899,643.2698438167572,416.33408522605896,655.6434679031372,646.097174167633,1.421231985092163,682.7447445392609,633.0194652080536,658.0036158561707,0.022557973861694336,747.9350533485413,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust
08062028,mnist,latency,np,8,20,"delta(1,)",0.16727995872497559,0.17027068138122559,0.16284775733947754,0.1680600643157959,0.05347251892089844,0.0012698173522949219,0.1698291301727295,0.08326411247253418,0.0009291172027587891,0.0010297298431396484,0.0008893013000488281,0.001016378402709961,0.16792845726013184,0.03565549850463867,Not robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust
08310125,mnist,latency,milp,5,10,"delta(1,)",0.9247870445251,0.946605682373,0.7964899539948,0.7527945041656,0.9275455474854,1.0358278751373,0.7278261184692,0.8180134296417,0.7896997928619,0.7935924530029,0.9370675086975,0.7352328300476,0.9303081035614,0.8395135402679,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust
09010204,fmnist,latency,milp,5,14,"delta(3,)",962.420126914978,1441.9151594638824,3938.001565694809,3296.953881263733,714.1855363845825,3269.751048564911,159.0697102546692,654.5580396652222,276.1695337295532,8425.206961393356,23486.974281072617,186.4487679004669,440.1958088874817,697.0988285541534,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Not robust,Robust,Robust,Not robust
08062234,mnist,baseline,z3,5,10,"delta(3,)",120650.54195451736,72393.75162696838,11629.272849082947,inf,57672.098499298096,12987.697924852371,31738.29368162155,51404.91839051247,13367.376376390457,53172.18969488144,317250.9778499603,10631.104182720184,107037.02420091629,13215.971765995026,Not robust,Not robust,Not robust,Unknown,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Unknown,Not robust,Not robust,Not robust
09011524,fmnist,latency,milp,5,16,"delta(1,)",5.7098827362061,11.7341938018799,6.3310191631317,2.4402129650116,15.5904591083527,22.3475012779236,1.9060106277466,10.5335257053375,3.4545269012451,2.8347363471985,2.7940204143524,21.4074416160583,1.8326263427734,4.8792808055878,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
10142024,mnist,latency,milp,8,20,"delta(1,)",1.8950674533844,2.6663918495178,1.4554462432861,2.3851940631866,2.5076925754547,1.8303525447845,3.0935041904449,2.5504410266876,1.7966883182526,1.6530845165253,1.8505439758301,1.2959463596344,1.2318091392517,3.4778873920441,Not robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust
08310511,mnist,latency,milp,5,12,"delta(1,)",0.9395942687988,0.8105406761169,0.9428689479828,0.9737079143524,0.6944522857666,0.8160665035248,0.97767162323,0.7821769714355,0.923828125,0.900260925293,0.867912530899,0.8134913444519,0.9429359436035,1.0531151294708,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Not robust,Robust,Robust,Robust,Robust
09121703,mnist,latency,milp,5,20,"delta(2,)",47.4474773406982,63.3769807815552,11.0615525245667,313.3409490585327,634.0843074321747,167.8092064857483,16.7815828323364,26.5516953468323,84.3167560100555,185.6842451095581,32.6877520084381,119.5974214076996,87.2670705318451,446.7443602085114,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08141745,mnist,latency,np,256,512,"delta(1,)",6.142273664474487,4.53187894821167,3.8278236389160156,4.2470691204071045,3.226123332977295,4.146015882492065,4.634396314620972,5.073407888412476,4.195624351501465,6.305975914001465,5.990417718887329,4.0002758502960205,5.053884744644165,6.39180064201355,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08310136,fmnist,latency,milp,5,10,"delta(2,)",13.7945280075073,10.2848575115204,16.8841862678528,162.0369222164154,47.3491320610046,390.6989653110504,14.0566267967224,14.1511559486389,18.4316565990448,14.6092557907104,451.8140614032745,72.0276634693146,17.8089187145233,11.2130224704742,Not robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust
10171441,fmnist,latency,milp,7,20,"delta(1,)",44.6393234729767,34.7016153335571,15.6956832408905,6.7461018562317,55.3766238689423,21.2872607707977,8.4546127319336,20.8380856513977,9.3740003108978,17.9921772480011,3.9032490253448,32.133672952652,8.2952194213867,6.5848503112793,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Not robust
05191224,fmnist,latency,z3,5,14,"delta(1,)",2114.528790950775,11970.396238327026,2270.518176317215,6749.323621749878,1837.025438785553,2568.7823717594147,9267.005158185959,4471.774349927902,874.8167595863342,917.6797111034393,5805.805907487869,9358.174912691116,2209.0341596603394,3459.7565801143646,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Not robust,Robust,Robust,Not robust
08102345,fmnist,latency,z3,5,12,"delta(1,)",3904.614025115967,5515.509943008423,14481.526062011719,1169.7761693000793,6636.8007526397705,9453.569801330566,4688.110558986664,7740.444181919098,10430.926491737366,11134.078305006027,9777.048337697983,1648.3807644844055,6013.685882329941,641.5847008228302,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
08141754,mnist,latency,np,256,512,"delta(2,)",1761.304824590683,1934.541621208191,1413.5244071483612,2021.586134672165,924.830384016037,2649.2209165096283,1853.1911430358887,1411.481734752655,1263.049331665039,1671.162312746048,2174.628734111786,1478.2645659446716,2150.872932910919,1827.5790824890137,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08101714,fmnist,latency,z3,5,10,"delta(1,)",1162.7448799610138,3535.934538602829,361.20886158943176,1927.9263186454773,2490.0136799812317,398.8631684780121,414.39460039138794,971.0116558074951,4174.550724029541,3448.445853948593,6350.906692504883,390.8951880931854,945.7249140739441,1534.802327156067,Not robust,Not robust,Not robust,Robust,Not robust,Not robust,Not robust,Not robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust
06130909,mnist,latency,z3,5,14,"delta(1,)",11408.873600959778,10998.600091934204,626.0317897796631,6653.267882823944,17905.90248823166,2423.6082780361176,9568.815367221832,2461.0930206775665,1793.4313600063324,842.4744157791138,8312.56975197792,14721.564046621323,10012.264996528625,11285.895562171936,Robust,Robust,Robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
08101935,fmnist,latency,z3,5,16,"delta(1,)",2562.4459884166718,4055.701390981674,849.8244993686676,933.0700807571411,2074.1281831264496,11194.000762939453,3615.6904628276825,930.3904526233673,21068.883383989334,9157.613271474838,13581.151704072952,2260.3914778232574,991.5903992652893,3296.2878365516663,Robust,Not robust,Not robust,Robust,Not robust,Not robust,Robust,Not robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
08151410,fmnist,latency,z3,5,12,"delta(1,)",2973.079622030258,4407.383345127106,11690.402739048004,785.5781579017639,5394.049330711365,7963.884740591049,3625.3015673160553,6217.123692512512,8611.65130329132,9431.235226631165,7951.869264125824,1109.094788312912,4736.084963560104,427.7939805984497,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
08312224,fmnist,latency,milp,5,14,"delta(1,)",7.1867733001709,9.40278673172,2.4518556594849,1.4184613227844,10.0419311523438,4.7523045539856,1.7445108890533,12.2133636474609,3.5749609470367,3.5293619632721,4.2121529579163,12.6992888450623,1.6063840389252,2.1981253623962,Robust,Not robust,Robust,Robust,Robust,Not robust,Robust,Robust,Not robust,Robust,Not robust,Robust,Robust,Not robust
08152154,fmnist,latency,z3,5,12,"delta(1,)",2909.355901479721,3915.0725617408752,10880.842936992645,827.0914585590363,4695.7015726566315,6717.9406452178955,3225.660452604294,5305.767194271088,7340.3871648311615,8353.086696863174,6616.198127746582,1115.6198601722717,4547.979019165039,444.13650703430176,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust
08121101,mnist,latency,np,5,18,"delta(1,)",0.17280364036560059,0.16997551918029785,0.1623232364654541,0.17119836807250977,0.1740250587463379,0.1654975414276123,0.1717970371246338,0.1750812530517578,0.16995525360107422,0.17192339897155762,0.16922736167907715,0.16260027885437012,0.16741347312927246,0.17488884925842285,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
06140808,mnist,baseline,z3,5,12,"delta(1,)",inf,inf,inf,inf,inf,inf,inf,inf,33414.3842523098,206303.55846118927,39306.47619867325,59925.54174828529,inf,inf,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not robust,Not robust,Not robust,Not robust,Unknown,Unknown
08101432,fmnist,baseline,z3,5,18,"delta(1,)",inf,inf,inf,inf,inf,inf,67853.07255530357,inf,inf,inf,inf,inf,inf,inf,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Not robust,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
10142024,mnist,latency,milp,6,20,"delta(1,)",2.4427812099457,2.2702555656433,1.4345767498016,2.533376455307,1.9942944049835,1.5887567996979,1.3543257713318,2.8986856937408,2.2832894325256,2.0222294330597,3.6991968154907,1.0472304821014,1.0941264629364,2.8404366970062,Robust,Robust,Not robust,Not robust,Robust,Robust,Not robust,Robust,Robust,Robust,Robust,Robust,Robust,Robust
